nwname,fname,smile,CHA score,CCA score
583al,P156201306.sdf,c1ccc2cc(ccc2c1)NC(=O)[C@H](CSSC[C@@H](C(=O)Nc3ccc4ccccc4c3)NC(=O)CC[C@@H](C(=O)[O-])[NH3+])NC(=O)CC[C@@H](C(=O)[O-])[NH3+],0.121,0.21
584al,P156200427.sdf,C[C@@H](C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](Cc1c[nH+]c[nH]1)C(=O)N[C@@H](CC(C)C)C(=O)NC)NC(=O)[C@H](Cc2c[nH]c3c2cccc3)NC(=O)[C@H](Cc4c[nH+]c[nH]4)NC(=O)C(C)C,0.242,0.21
585al,P156200425.sdf,C[C@@H](C(=O)N[C@@H](CC(=O)[O-])C(=O)Nc1ccc2c(cc(=O)oc2c1)C(F)(F)F)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C(C)C)NC(=O)C,0.182,0.16
586al,P156200409.sdf,CC(C)[C@@H](C(=O)N[C@@H](CC(=O)[O-])C(=O)Nc1ccc2c(cc(=O)oc2c1)C(F)(F)F)NC(=O)[C@H](CCC(=O)[O-])NC(=O)[C@H](CC(=O)O)NC(=O)C,0.576,0.22
587al,P156200402.sdf,c1ccc2cc(ccc2c1)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],0.394,0.24
588al,P156200401.sdf,c1ccc2cc(ccc2c1)NC(=O)[C@@H](CCCC[NH3+])NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],0.152,0.22
589al,P156200400.sdf,c1ccc2cc(ccc2c1)NC(=O)[C@H](CCCC[NH3+])NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],0.636,0.24
590al,P156200399.sdf,c1ccc2cc(ccc2c1)NC(=O)[C@@H](CCCC[NH3+])NC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)[C@@H](CC(=O)[O-])NC(=O)C[NH3+],0.394,0.24
591al,P156200394.sdf,C[C@H]([C@@H](C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)NC(=O)C[NH3+])O,0.364,0.23
592al,P156200393.sdf,C[C@@H]([C@@H](C(=O)N1CCC[C@@H]1C(=O)[O-])NC(=O)[C@@H](CC(=O)O)NC(=O)CNC(=O)[C@@H](CCCNC(=[NH2+])N)NC(=O)C[NH3+])O,0.273,0.24
