DHT,seqid
30.6859,1165
51.2658,1166
26.0355,1167
24.6006,1168
23.1579,1169
33.6538,1170
22.5564,1171
33.4764,1172
35.5649,1173
27.9835,1174
41.6393,1175
37.2414,1176
31.9113,1177
11.1842,1178
23.6607,1179
25.5708,1180
31.9559,1181
13.0641,1182
28.2313,1183
26.1965,1184
29.8103,1185
12.1807,1186
38.9011,1187
31.5914,1188
40.2985,1189
35.8779,1190
28.9593,1191
31.339,1192
29.8246,1193
44.4444,1194
15.5125,1195
25.9259,1196
30.2583,1197
34.2324,1198
25.1553,1199
25.6532,1200
20.4918,1201
23.4234,1202
22.5806,1203
29.771,1204
20.1835,1205
35.2564,1206
33.1858,1207
38.7025,1208
28.7846,1209
38.3333,1210
15.2778,1211
32.7273,1212
25.1701,1213
29.8701,1214
32.2449,1215
41.25,1216
24.7956,1217
40.6977,1218
30,1219
29.9296,1220
32.4675,1221
34.2857,1222
13.278,1223
31.828,1224
23.913,1225
29.3403,1226
21.8009,1227
40.2332,1228
21.6216,1229
37.1901,1230
27.6151,1231
34.7222,1232
29.1667,1233
31.769,1234
40.8759,1235
27.3026,1236
34.3333,1237
36.4269,1238
36.8304,1239
23.6908,1240
25,1241
15.3846,1242
20.3931,1243
27.2727,1244
26.276,1245
29.6099,1246
31.2388,1247
29.3976,1248
25.8824,1249
29.1391,1250
21.8593,1251
42.3077,1252
32.6667,1253
33.0973,1254
37.013,1255
30.6859,1256
24.7573,1257
29.8734,1258
33.2031,1259
38.5714,1260
20.4981,1261
26,1262
25.7895,1263
24.8954,1264
30.4721,1265
22.0779,1266
33.0097,1267
44.6043,1268
32.6797,1269
19.7802,1270
34.7368,1271
39.0625,1272
35.7542,1273
28.3019,1274
25.7261,1275
25.1064,1276
36.875,1277
24.6575,1278
37.9195,1279
31.3653,1280
37.037,1281
27.2727,1282
15.8683,1283
29.653,1284
33.3333,1285
36.3077,1286
41.9643,1287
21.5686,1288
27.5281,1289
23.3677,1290
32.6667,1291
25.4777,1292
36.4929,1293
21.8905,1294
22.1154,1295
33.4601,1296
26.8966,1297
27.8618,1298
26.7206,1299
30.0578,1300
30.2222,1301
21.5247,1302
27.8422,1303
29.3023,1304
31.0897,1305
25.7069,1306
36.3636,1307
31.8182,1308
24.7706,1309
20,1310
25.5132,1311
24.878,1312
32.2785,1313
22.0339,1314
41.8182,1315
31.9767,1316
32.2581,1317
31.3099,1318
31.4286,1319
34.5382,1320
27.2366,1321
19.209,1322
28.2913,1323
41.8719,1324
34.8,1325
33.3333,1326
28.6567,1327
17.5705,1328
38.1944,1329
47.9167,1330
21.5556,1331
29.6875,1332
25.4795,1333
38.6905,1334
33.8983,1335
36.5031,1336
27.234,1337
28.2908,1338
24.7031,1339
30.7292,1340
29.9401,1341
20.9804,1342
32.2476,1343
46.7213,1344
35.9155,1345
37.7049,1346
41.3462,1347
16.6667,1348
36.9863,1349
33.6406,1350
35.8696,1351
42.1875,1352
33.1707,1353
32.3741,1354
35.3952,1355
19.6262,1356
33.2103,1357
37.5494,1358
35.5769,1359
46.2857,1360
35.3191,1361
34.8485,1362
31.1663,1363
28.2609,1364
28.8026,1365
36.5497,1366
13.1086,1367
31.1224,1368
26.3852,1369
40.2214,1370
26.5226,1371
33.0049,1372
37.1901,1373
24.2678,1374
17.7184,1375
27.0833,1376
27.8161,1377
38.8747,1378
35.2601,1379
28.9157,1380
27.2436,1381
36.8889,1382
21.5686,1383
20.4918,1384
27.4725,1385
23.3918,1386
32.6316,1387
23.6726,1388
20.8092,1389
40.1961,1390
28.3871,1391
32.0158,1392
20.8054,1393
23.6842,1394
32.973,1395
22.8659,1396
24.1791,1397
26.7925,1398
31.5966,1399
35.1515,1400
27.395,1401
29.5238,1402
37.8289,1403
28.7324,1404
27.7487,1405
28.4585,1406
26.1614,1407
23.0216,1408
26.1845,1409
36.9906,1410
27.5294,1411
13.3333,1412
33.6996,1413
33.5616,1414
28.4595,1415
31.1653,1416
27.451,1417
